id,created_at,title,description,image_url,price,category_id,discount,shop_id
1,2023-03-15 08:45:30+00,Premium Grain-Free Dog Food,"A nutritious blend of high-quality proteins, vegetables, and essential vitamins for optimal canine health. Grain-free formula for sensitive stomachs.",https://i.imgur.com/uFyuvLg.jpeg,29.99,1,2,1
2,2023-05-22 14:20:15+00,Gourmet Cat Treat Variety Pack,"Irresistible treats for your feline friend. Includes flavors like salmon, chicken, and catnip-infused bites for a purr-fectly delightful snack.",https://i.imgur.com/KIGW49u.jpeg,12.99,1,1.5,1
3,2023-07-10 18:30:45+00,Pampered Paws Dog Shampoo,"A gentle and moisturizing shampoo enriched with natural extracts to keep your dog's coat soft, shiny, and free from irritation.",https://i.imgur.com/KIGW49u.jpeg,15.99,2,2.5,1
4,2023-09-05 10:12:00+00,Deluxe Cat Grooming Kit,"Everything you need for a spa day for your cat! Includes a slicker brush, nail clippers, and a soothing catnip-infused grooming spray.",https://i.imgur.com/KXj6Tpb.jpeg,24.99,2,3,1
5,2023-11-12 22:40:30+00,Interactive Ball Launcher,Keep your dog entertained for hours with this automatic ball launcher. Perfect for a game of fetch indoors or outdoors.,https://i.imgur.com/XVp8T1I.jpeg,39.99,3,5,1
6,2024-01-18 16:25:15+00,Feathered Friends Teaser Wand,"Engage your cat's natural instincts with this interactive teaser wand featuring colorful feathers that mimic prey, providing hours of playtime.",https://i.imgur.com/yAOihUe.jpeg,8.99,3,1.2,1
7,2024-03-24 09:55:00+00,OrthoComfort Memory Foam Dog Bed,"Provide your furry friend with the ultimate comfort. This orthopedic dog bed features memory foam and a plush cover for a good night's sleep.",https://i.imgur.com/ZANVnHE.jpeg,49.99,4,7,1
8,2024-05-30 12:08:45+00,Cozy Cat Cave Bed,A snug and warm retreat for your cat. This cave-style bed offers a sense of security and is lined with soft faux fur for extra comfort.,https://i.imgur.com/Ex5x3IU.jpg,19.99,4,3.5,1
9,2024-07-15 20:30:30+00,Fresh Breath Dental Chews,"Tasty dental chews that not only freshen your dog's breath but also help maintain oral health by reducing plaque and tartar.",https://i.imgur.com/AzAY4Ed.jpeg,11.99,2,1.8,1
10,2024-09-22 11:40:15+00,Pet Travel Organizer,"A convenient travel bag with compartments for food, treats, and essentials. Perfect for pet parents on the go.",https://i.imgur.com/KXj6Tpb.jpeg,29.99,4,4,1
